Gemini panel,Gemini panel genes,PanelApp panel,PanelApp panel genes
CFTR single gene,['CFTR'],Additional findings reproductive carrier status_0.5,['CFTR']
Catecholaminergic polymorphic ventricular tachycardia,"['RYR2', 'CASQ2', 'CALM1', 'TRDN']",Catecholaminergic polymorphic VT_2.5,"['CALM1', 'CALM2', 'CALM3', 'CASQ2', 'RYR2', 'TRDN']"
Charcot Marie Tooth & Sensory Neuropathy,"['BSCL2', 'ATM', 'ATL1', 'DNM2', 'DNMT1', 'CTDP1', 'NDRG1', 'NGF', 'NEFL', 'ATP7A', 'ARHGEF10', 'AARS', 'HSPB1', 'HSPB3', 'HSPB8', 'GJB1', 'IGHMBP2', 'ELP1', 'HK1', 'INF2', 'KARS', 'KIF1A', 'KIF1B', 'KIF5A', 'LITAF', 'LMNA', 'MFN2', 'LRSAM1', 'MPZ', 'MTMR14', 'MTMR2', 'MED25', 'HARS', 'TFG', 'SLC12A6', 'SETX', 'SH3TC2', 'SIGMAR1', 'SOX10', 'SPAST', 'SPTLC2', 'SPTLC1', 'VCP', 'TRPV4', 'SMN1', 'DST', 'DYNC1H1', 'EGR2', 'FGD4', 'FBLN5', 'RETREG1', 'GAN', 'GARS', 'FIG4', 'GDAP1', 'GLA', 'HOXD10', 'NTRK1', 'SBF2', 'PDHA1', 'PMP22', 'POLG', 'PRPS1', 'RAB7A', 'PRX', 'REEP1', 'PRNP', 'PLEKHG5', 'SCN9A', 'YARS', 'SACS', 'PHYH', 'PEX7', 'MME', 'MPV17', 'TUBB3', 'TTR', 'TYMP', 'TDP1', 'SLC52A3', 'SPG11', 'SCN11A', 'SLC52A2', 'COX6A1', 'CHCHD10', 'ATL3', 'BICD2', 'HINT1', 'CCT5', 'BAG3', 'C12orf65', 'AIFM1', 'APTX', 'WNK1', 'SEPT9']",Hereditary neuropathy NOT PMP22 copy number_1.2,"['AARS', 'ABCA1', 'AIFM1', 'ATL1', 'ATP1A1', 'ATP7A', 'BICD2', 'BSCL2', 'CHCHD10', 'COX6A1', 'CPOX', 'CYP27A1', 'DCTN1', 'DNAJB2', 'DNM2', 'DNMT1', 'DST', 'DYNC1H1', 'EGR2', 'ELP1', 'FBLN5', 'FGD4', 'FIG4', 'GARS', 'GDAP1', 'GJB1', 'GNB4', 'HARS', 'HINT1', 'HK1', 'HMBS', 'HSPB1', 'HSPB8', 'IGHMBP2', 'INF2', 'KIF1A', 'KIF5A', 'LITAF', 'LMNA', 'LRSAM1', 'MCM3AP', 'MFN2', 'MME', 'MORC2', 'MPV17', 'MPZ', 'MT-ATP6', 'MTMR2', 'NDRG1', 'NEFH', 'NEFL', 'NGF', 'NTRK1', 'PLEKHG5', 'PMP2', 'PMP22', 'PPOX', 'PRDM12', 'PRPS1', 'PRX', 'RAB7A', 'REEP1', 'RETREG1', 'SBF1', 'SBF2', 'SCN10A', 'SCN11A', 'SCN9A', 'SEPT9', 'SETX', 'SH3TC2', 'SIGMAR1', 'SLC52A2', 'SLC52A3', 'SLC5A7', 'SMN1', 'SPG11', 'SPTLC1', 'SPTLC2', 'TFG', 'TRIM2', 'TRPV4', 'TTR', 'VRK1', 'WARS', 'WNK1', 'YARS', '[67545316, 67545383]']"
Charge syndrome,['CHD7'],CHARGE syndrome_0.11,['CHD7']
Chondrodysplasia Punctata,"['EBP', 'GNPAT', 'PEX7', 'AGPS', 'ARSE']",Chondrodysplasia punctata_1.4,"['AGPS', 'ARSE', 'EBP', 'GNPAT', 'PEX7']"
Clefting,"['XYLT1', 'WNT5A', 'SNRPB', 'ZIC2', 'CECR2', 'C2CD3', 'IFT172', 'KAT6A', 'MAPRE2', 'GRHL3', 'EOGT', 'EPG5', 'CTCF', 'DLL4', 'DVL1', 'EIF2S3', 'TRAPPC9', 'TRIM37', 'TP63', 'TMCO1', 'TBX22', 'TCOF1', 'USP9X', 'SPECC1L', 'SMS', 'SLC26A2', 'SKI', 'SIX3', 'SHH', 'SF3B4', 'AMER1', 'ANKRD11', 'ACTB', 'ZEB2', 'ZIC3', 'B3GLCT', 'KIF1BP', 'NECTIN1', 'ZSWIM6', 'TUBB', 'TXNL4A', 'TELO2', 'TGDS', 'SEPT9', 'STAMBP', 'ASXL1', 'ARHGAP31', 'BCOR', 'FGFR2', 'FGFR1', 'FGD1', 'FOXC2', 'FLNA', 'CDKN1C', 'CHRNG', 'POLR1C', 'POLR1D', 'PORCN', 'PIEZO2', 'PHF8', 'PIGN', 'PIGV', 'RBM10', 'PTCH1', 'SCARF2', 'SATB2', 'RPS26', 'RPL5', 'ROR2', 'MSX1', 'MEIS2', 'LMBR1', 'MASP1', 'NEDD4L', 'PAX3', 'DHODH', 'CTNND1', 'COLEC11', 'ESCO2', 'FAM20C', 'DOCK6', 'EFNB1', 'EFTUD2', 'EDNRA', 'GLI3', 'TFAP2A', 'TGFB3', 'IRF6', 'HYLS1', 'ICK', 'IFT140', 'IMPAD1', 'SMC1A', 'SOX9', 'SIX5', 'SIX1', 'TCTN3', 'TGFBR1', 'TGFBR2', 'TBX1', 'SMC3', 'SMAD3', 'SMAD4', 'NOTCH1', 'NIPBL', 'OFD1', 'SALL4', 'EBP', 'DYNC2H1', 'EYA1', 'GPC3', 'GJA1', 'GATA4', 'FRAS1', 'FLNB', 'MBTPS2', 'MID1', 'MKS1', 'KIF7', 'KMT2D', 'KDM6A', 'KCNJ2', 'IFT80', 'HDAC8', 'ACTG1', 'NEK1', 'COL11A2', 'COL11A1', 'COL2A1', 'C5orf42', 'COL9A1', 'DHCR7', 'CHD7', 'CHST14', 'CDH1', 'CC2D2A']",Clefting_2.2,"['ACTB', 'ACTG1', 'AMER1', 'ANKRD11', 'ARHGAP29', 'ARHGAP31', 'ASXL1', 'B3GLCT', 'BCOR', 'BMP2', 'C2CD3', 'C5orf42', 'CC2D2A', 'CDH1', 'CDKN1C', 'CHD7', 'CHRNG', 'CHST14', 'COL11A1', 'COL11A2', 'COL2A1', 'COL9A1', 'COLEC10', 'COLEC11', 'CTCF', 'CTNND1', 'DHCR7', 'DHODH', 'DLL4', 'DOCK6', 'DVL1', 'DVL3', 'DYNC2H1', 'DYNC2LI1', 'EBP', 'EDNRA', 'EFNB1', 'EFTUD2', 'EIF2S3', 'EIF4A3', 'EOGT', 'EPG5', 'ESCO2', 'EYA1', 'FAM20C', 'FGD1', 'FGFR1', 'FGFR2', 'FLNA', 'FLNB', 'FOXC2', 'FRAS1', 'GJA1', 'GLI3', 'GPC3', 'GRHL3', 'HDAC8', 'HYLS1', 'ICK', 'IFT140', 'IFT172', 'IFT80', 'IMPAD1', 'IRF6', 'KAT6A', 'KCNJ2', 'KDM6A', 'KIAA0586', 'KIF1BP', 'KIF7', 'KMT2D', 'MAP3K7', 'MAPRE2', 'MASP1', 'MBTPS2', 'MEIS2', 'MID1', 'MKS1', 'MSX1', 'MYMK', 'NECTIN1', 'NEDD4L', 'NEK1', 'NIPBL', 'NOTCH1', 'OFD1', 'PAX3', 'PHF8', 'PIEZO2', 'PIGN', 'PIGV', 'POLR1C', 'POLR1D', 'PORCN', 'PTCH1', 'RBM10', 'ROR2', 'RPL5', 'RPS26', 'SALL4', 'SATB2', 'SCARF2', 'SEPT9', 'SF3B4', 'SHH', 'SIX1', 'SIX3', 'SIX5', 'SKI', 'SLC26A2', 'SMAD3', 'SMAD4', 'SMC1A', 'SMC3', 'SMS', 'SNRPB', 'SON', 'SOX9', 'SPECC1L', 'STAMBP', 'TBX22', 'TCOF1', 'TCTN3', 'TELO2', 'TFAP2A', 'TGDS', 'TGFB3', 'TGFBR1', 'TGFBR2', 'TMCO1', 'TP63', 'TRAPPC9', 'TRIM37', 'TUBB', 'TXNL4A', 'USP9X', 'WNT5A', 'XYLT1', 'ZEB2', 'ZIC2', 'ZIC3', 'ZSWIM6', '[16912063, 18109094]', '[8261773, 11908210]', '[18924718, 20299686]', '[18924718, 21111384]', '[156791102, 156791874]']"
Congenital Adrenal Hypoplasia,"['CDKN1C', 'AIRE', 'AAAS', 'TBX19', 'NNT', 'NR5A1', 'NR0B1', 'MC2R', 'MRAP', 'SAMD9', 'CYP11A1', 'STAR']",Congenital adrenal hypoplasia_2.2,"['AAAS', 'AIRE', 'CDKN1C', 'CYP11A1', 'MC2R', 'MRAP', 'NNT', 'NR0B1', 'NR5A1', 'SAMD9', 'SGPL1', 'STAR', 'TBX19']"
Congenital myasthenic syndrome,"['CHRNE', 'CHRNG', 'CHRNB1', 'CHAT', 'AGRN', 'ALG2', 'SYT2', 'COLQ', 'DOK7', 'SCN4A', 'RAPSN', 'MUSK', 'GFPT1', 'GRN', 'CHRND', 'CHRNA1']",Congenital myaesthenic syndrome_2.2,"['AGRN', 'ALG14', 'ALG2', 'CHAT', 'CHRNA1', 'CHRNB1', 'CHRND', 'CHRNE', 'CHRNG', 'COL13A1', 'COLQ', 'DOK7', 'DPAGT1', 'GFPT1', 'GMPPB', 'LRP4', 'MUSK', 'MYO9A', 'PLEC', 'RAPSN', 'SCN4A', 'SLC18A3', 'SLC25A1', 'SLC5A7', 'SYT2', 'VAMP1']"
Craniosynostosis,"['MSX2', 'RECQL4', 'RAB23', 'EFNB1', 'FAM20C', 'COLEC11', 'CTSK', 'CYP26B1', 'FGFR2', 'FGFR1', 'FLNA', 'ASXL1', 'ARSB', 'ALX4', 'ZEB2', 'SMO', 'TCF12', 'TMCO1', 'TWIST1', 'STAT3', 'SPECC1L', 'SKI', 'MEGF8', 'KAT6A', 'ERF', 'WDR35', 'ZIC1', 'PHEX', 'RUNX2', 'PTPN11', 'FGFR3', 'POR', 'GNPTAB', 'TGFBR2', 'SMAD6', 'GLI3', 'GNAS', 'TFAP2B', 'TGFBR1', 'IHH', 'IL11RA', 'IFT122', 'IDS', 'HUWE1', 'ALPL', 'KRAS', 'IDUA', 'KMT2D', 'JAG1', 'BRAF']",Craniosynostosis_2.2,"['ALPL', 'ALX4', 'ARSB', 'ASXL1', 'BRAF', 'CDC45', 'COLEC11', 'CTSK', 'CYP26B1', 'EFNB1', 'ERF', 'FAM20C', 'FGFR1', 'FGFR2', 'FGFR3', 'FLNA', 'GLI3', 'GNAS', 'GNPTAB', 'HUWE1', 'IDS', 'IDUA', 'IFT122', 'IHH', 'IL11RA', 'JAG1', 'KAT6A', 'KMT2D', 'KRAS', 'MEGF8', 'MSX2', 'P4HB', 'PHEX', 'POR', 'PTPN11', 'RAB23', 'RECQL4', 'RUNX2', 'SKI', 'SLC25A24', 'SMAD6', 'SMO', 'SPECC1L', 'STAT3', 'TCF12', 'TFAP2B', 'TGFBR1', 'TGFBR2', 'TLK2', 'TMCO1', 'TWIST1', 'WDR35', 'ZEB2', 'ZIC1', '[43873250, 46130899]']"
Cystic Kidney Disease,"['UMOD', 'ANKS6', 'NPHP4', 'NPHP3', 'NPHP1', 'PKHD1', 'PKD1', 'PKD2', 'HNF1B', 'TTC21B', 'TSC2', 'TSC1', 'VHL', 'TMEM67', 'COL4A1', 'INVS', 'CEP164']",Cystic kidney disease_2.2,"['ANKS6', 'CEP164', 'CEP83', 'COL4A1', 'DNAJB11', 'DZIP1L', 'GANAB', 'HNF1B', 'INVS', 'MAPKBP1', 'NPHP1', 'NPHP3', 'NPHP4', 'PKD1', 'PKD2', 'PKHD1', 'TMEM67', 'TSC1', 'TSC2', 'TTC21B', 'UMOD', 'VHL', 'WDR19', '[110122329, 110205017]', '[36458167, 37854617]']"
Cystic fibrosis / Bronchiectasis,"['CFTR', 'SCNN1B', 'SCNN1A', 'SCNN1G']",Non CF bronchiectasis_1.22,"['CFTR', 'PIK3CD', 'SCNN1A', 'SCNN1B', 'SCNN1G']"
